eventType,timestamp,sensorId,latency,hash,new_size
EDGE_VALIDATED,1762667165691,sensor_01,21,,
BLOCK_ADDED,1762667165691,sensor_01,,blk_8j24kr,
EDGE_VALIDATED,1762667194149,sensor_01,4,,
BLOCK_ADDED,1762667194150,sensor_01,,blk_3266ur,
EDGE_VALIDATED,1762667310811,sensor_01,2,,
BLOCK_ADDED,1762667310811,sensor_01,,blk_l0qupc,
EDGE_VALIDATED,1762667457352,sensor_01,3,,
BLOCK_ADDED,1762667457352,sensor_01,,blk_c9jpzo,
EDGE_VALIDATED,1762667467168,sensor_01,5,,
BLOCK_ADDED,1762667467169,sensor_01,,blk_0893ez,
EDGE_VALIDATED,1762667468835,sensor_01,3,,
BLOCK_ADDED,1762667468835,sensor_01,,blk_1b6s1u,
EDGE_VALIDATED,1762667470559,sensor_01,3,,
BLOCK_ADDED,1762667470559,sensor_01,,blk_f5257f,
EDGE_VALIDATED,1762667471882,sensor_01,3,,
BLOCK_ADDED,1762667471882,sensor_01,,blk_hz90q6,
EDGE_VALIDATED,1762667472364,sensor_01,7,,
BLOCK_ADDED,1762667472364,sensor_01,,blk_vyuzu7,
EDGE_VALIDATED,1762667822687,sensor_01,4,,
BLOCK_ADDED,1762667822688,sensor_01,,blk_s6m35l,